m_pi mpiL
0.11912(47) 3.812(15) 
0 0.119124 3.811969 
1 0.119071 3.810275 
2 0.119134 3.812274 
3 0.119094 3.811023 
4 0.119056 3.809802 
5 0.119154 3.812923 
6 0.119071 3.810270 
7 0.119080 3.810553 
8 0.119052 3.809648 
9 0.119128 3.812091 
10 0.119118 3.811771 
11 0.119232 3.815410 
12 0.119337 3.818788 
13 0.119166 3.813308 
14 0.119063 3.810025 
15 0.119052 3.809663 
16 0.119031 3.808994 
17 0.119069 3.810219 
18 0.119099 3.811154 
19 0.119096 3.811065 
20 0.119141 3.812498 
21 0.119165 3.813280 
22 0.119130 3.812166 
23 0.119159 3.813077 
24 0.119281 3.816991 
25 0.119174 3.813564 
26 0.119049 3.809575 
27 0.119077 3.810476 
28 0.119192 3.814158 
29 0.119072 3.810290 
30 0.119080 3.810547 
31 0.119079 3.810517 
32 0.119109 3.811490 
33 0.119064 3.810062 
34 0.119117 3.811734 
35 0.119076 3.810426 
36 0.119178 3.813686 
37 0.119069 3.810204 
38 0.119095 3.811046 
39 0.119094 3.811006 
40 0.119111 3.811553 
41 0.119098 3.811124 
42 0.119089 3.810862 
43 0.119074 3.810379 
44 0.119118 3.811772 
45 0.119143 3.812583 
46 0.119109 3.811501 
47 0.119193 3.814178 
48 0.119133 3.812248 
49 0.119171 3.813456 
50 0.119180 3.813752 
51 0.119163 3.813210 
52 0.119045 3.809436 
53 0.119080 3.810569 
54 0.119181 3.813783 
55 0.119121 3.811869 
56 0.119197 3.814310 
57 0.119140 3.812494 
58 0.119137 3.812379 
59 0.119296 3.817475 
60 0.119169 3.813405 
