E_0 E_1 E_2 E_3 E_4 
0.2356(81) 0.450(24) 0.5528(75) 0.584(17) 0.8087(41) 
0 0.235645 0.449647 0.552796 0.583919 0.808650 
1 0.236348 0.451183 0.553055 0.585818 0.807998 
2 0.235937 0.452969 0.554430 0.587259 0.807681 
3 0.236309 0.451682 0.552895 0.586480 0.808788 
4 0.235623 0.449887 0.551637 0.583956 0.808263 
5 0.235092 0.453192 0.553221 0.586117 0.808990 
6 0.234327 0.445904 0.551674 0.582362 0.808625 
7 0.236219 0.438135 0.551176 0.577250 0.808151 
8 0.234488 0.449818 0.551805 0.584396 0.808321 
9 0.236236 0.450658 0.552825 0.584909 0.809382 
10 0.235924 0.448293 0.552502 0.582299 0.809321 
11 0.237311 0.447750 0.552660 0.584033 0.808883 
12 0.235958 0.443578 0.552711 0.579303 0.807736 
13 0.236436 0.451585 0.552537 0.585948 0.808418 
14 0.236011 0.451474 0.554622 0.586702 0.807914 
15 0.236037 0.453745 0.551279 0.586350 0.808483 
16 0.234411 0.449553 0.551729 0.584458 0.808093 
17 0.236251 0.458354 0.553402 0.589107 0.809126 
18 0.237569 0.447013 0.553002 0.582311 0.809414 
19 0.237171 0.448325 0.552374 0.585782 0.809258 
20 0.235881 0.449131 0.552604 0.581968 0.808820 
21 0.234398 0.447121 0.552147 0.581801 0.808641 
22 0.235760 0.447100 0.552900 0.582740 0.808930 
23 0.233683 0.455514 0.553791 0.587477 0.808410 
24 0.236451 0.450263 0.552750 0.584584 0.808791 
25 0.236947 0.449005 0.553024 0.584655 0.808288 
26 0.234990 0.447958 0.552821 0.582913 0.809038 
27 0.234814 0.450397 0.552666 0.585015 0.808967 
28 0.234857 0.450123 0.552972 0.584782 0.809688 
29 0.235904 0.450635 0.552794 0.585232 0.808977 
30 0.235262 0.446875 0.553318 0.581330 0.808597 
31 0.236201 0.447833 0.553513 0.580702 0.808564 
32 0.236446 0.449469 0.551980 0.583371 0.808625 
33 0.235052 0.451170 0.552461 0.585406 0.808775 
34 0.235982 0.450213 0.552259 0.584302 0.808755 
35 0.231014 0.454586 0.554216 0.584949 0.809893 
36 0.236050 0.450202 0.553106 0.584836 0.807828 
37 0.235129 0.451253 0.553962 0.585448 0.808821 
38 0.236835 0.448743 0.551070 0.583593 0.808996 
39 0.237852 0.447259 0.552508 0.583128 0.808647 
40 0.236668 0.452305 0.554456 0.586301 0.809346 
41 0.235929 0.452881 0.552542 0.586179 0.809011 
42 0.235349 0.451428 0.552522 0.584627 0.808223 
43 0.235160 0.451251 0.552266 0.586063 0.808747 
44 0.235718 0.447825 0.552211 0.582386 0.808498 
45 0.234593 0.450089 0.552884 0.584292 0.808268 
46 0.235544 0.447016 0.554442 0.582557 0.807651 
47 0.234918 0.448801 0.550548 0.583160 0.809739 
48 0.234005 0.450324 0.554739 0.584330 0.809826 
49 0.236434 0.454914 0.554629 0.583607 0.809146 
50 0.235003 0.448680 0.552491 0.582331 0.808393 
51 0.235526 0.447245 0.551874 0.582189 0.808002 
52 0.235886 0.449829 0.552855 0.585197 0.808532 
53 0.235570 0.453316 0.555826 0.589632 0.808534 
54 0.234649 0.445348 0.552804 0.582081 0.808068 
55 0.236448 0.449141 0.553420 0.583856 0.808122 
56 0.236016 0.447867 0.552717 0.584094 0.809192 
57 0.235285 0.443291 0.551630 0.577693 0.808743 
58 0.234993 0.449507 0.552170 0.582627 0.807966 
59 0.235040 0.448861 0.552844 0.583399 0.809296 
60 0.235134 0.450033 0.552314 0.584714 0.808679 
