E_0 E_1 E_2 
0.16448(81) 0.32117(71) 0.4247(11) 
0 0.164477 0.321165 0.424738 
1 0.164558 0.321107 0.424924 
2 0.164496 0.321108 0.424664 
3 0.164510 0.321215 0.424854 
4 0.164409 0.321136 0.424790 
5 0.164338 0.321017 0.424639 
6 0.164294 0.321083 0.424642 
7 0.164415 0.321072 0.424628 
8 0.164644 0.321224 0.424649 
9 0.164510 0.321198 0.424707 
10 0.164369 0.320972 0.424698 
11 0.164317 0.321120 0.424807 
12 0.164365 0.321211 0.424817 
13 0.164489 0.321126 0.424669 
14 0.164394 0.321092 0.424528 
15 0.164410 0.321011 0.424668 
16 0.164638 0.321167 0.424585 
17 0.164428 0.321346 0.424740 
18 0.164488 0.321317 0.424747 
19 0.164390 0.321204 0.424731 
20 0.164635 0.321276 0.424790 
21 0.164513 0.321269 0.424840 
22 0.164561 0.321180 0.424388 
23 0.164445 0.321213 0.424707 
24 0.164417 0.321166 0.424621 
25 0.164445 0.321140 0.424638 
26 0.164418 0.321139 0.424704 
27 0.164415 0.321183 0.424792 
28 0.164478 0.321124 0.424564 
29 0.164524 0.321155 0.424835 
30 0.164390 0.321045 0.424508 
31 0.164310 0.321097 0.424352 
32 0.164513 0.321165 0.424693 
33 0.164873 0.321229 0.425079 
34 0.164604 0.321270 0.424963 
35 0.164542 0.321211 0.425049 
36 0.164472 0.321116 0.424646 
37 0.164382 0.321061 0.424642 
38 0.164480 0.321112 0.424808 
39 0.164392 0.321236 0.424863 
40 0.164475 0.321393 0.425006 
41 0.164330 0.321172 0.424852 
42 0.164545 0.321163 0.424630 
43 0.164522 0.321235 0.424807 
44 0.164465 0.321100 0.424641 
45 0.164329 0.321076 0.424679 
46 0.164314 0.321044 0.424702 
47 0.164498 0.321175 0.424690 
48 0.164557 0.321251 0.424694 
49 0.164662 0.321176 0.424751 
50 0.164406 0.321011 0.424686 
51 0.164668 0.321251 0.424919 
52 0.164414 0.321064 0.424725 
53 0.164432 0.321415 0.425061 
54 0.164395 0.321231 0.424674 
55 0.164499 0.321211 0.424764 
56 0.164441 0.321140 0.424770 
57 0.164585 0.321295 0.424943 
58 0.164540 0.321199 0.424640 
59 0.164439 0.321064 0.424765 
60 0.164563 0.321056 0.424824 
