E_0 E_1 E_2 E_3 E_4 E_5 
0.2369(16) 0.3546(63) 0.3836(33) 0.4491(74) 0.4939(28) 0.504(75) 
0 0.236927 0.354554 0.383552 0.449066 0.493931 0.504030 
1 0.237327 0.357635 0.383607 0.446931 0.493860 0.485283 
2 0.237170 0.356394 0.382644 0.447835 0.493589 0.492005 
3 0.237104 0.355293 0.383509 0.448311 0.493454 0.508196 
4 0.237149 0.355196 0.382855 0.449436 0.494086 0.503464 
5 0.236792 0.354227 0.383509 0.448163 0.493910 0.499473 
6 0.236673 0.353990 0.382834 0.449863 0.494384 0.500676 
7 0.236756 0.353640 0.383317 0.448606 0.493603 0.512429 
8 0.237050 0.353912 0.383998 0.450327 0.494140 0.508759 
9 0.236900 0.354210 0.383076 0.449103 0.493855 0.503340 
10 0.236706 0.354165 0.383356 0.448680 0.493664 0.508931 
11 0.236672 0.354078 0.383183 0.450466 0.494182 0.518120 
12 0.236736 0.354181 0.383215 0.448651 0.493796 0.505687 
13 0.236567 0.353918 0.382406 0.447924 0.493534 0.495665 
14 0.236550 0.353633 0.383668 0.448309 0.493716 0.499920 
15 0.236650 0.355841 0.382937 0.450904 0.494526 0.482145 
16 0.237121 0.354742 0.383649 0.449500 0.493984 0.490354 
17 0.237114 0.354708 0.383274 0.448284 0.494173 0.515352 
18 0.237032 0.356268 0.383419 0.449594 0.494297 0.481673 
19 0.236903 0.355467 0.383575 0.449661 0.494222 0.480495 
20 0.237406 0.356227 0.383388 0.450350 0.494399 0.488212 
21 0.237413 0.355034 0.383986 0.450265 0.494148 0.510098 
22 0.236870 0.354952 0.383907 0.449299 0.494018 0.501230 
23 0.236654 0.354534 0.383221 0.447528 0.493417 0.500301 
24 0.236677 0.353999 0.383386 0.447424 0.493512 0.501792 
25 0.236821 0.354193 0.383011 0.449016 0.493880 0.500686 
26 0.236703 0.354434 0.384273 0.450012 0.494298 0.491579 
27 0.236861 0.354195 0.383987 0.450565 0.494477 0.507611 
28 0.236856 0.354469 0.383817 0.448595 0.493950 0.503469 
29 0.236800 0.353855 0.383934 0.448483 0.494063 0.509254 
30 0.236700 0.354133 0.383332 0.448670 0.493511 0.505466 
31 0.236703 0.353457 0.384062 0.449224 0.493854 0.508122 
32 0.236840 0.353776 0.383767 0.448846 0.493598 0.514148 
33 0.237354 0.354816 0.383868 0.448010 0.493564 0.505922 
34 0.237066 0.355007 0.383952 0.449148 0.494143 0.489349 
35 0.236744 0.354754 0.383822 0.448060 0.493647 0.513491 
36 0.236802 0.354215 0.383267 0.450691 0.494746 0.498156 
37 0.236722 0.354772 0.383298 0.451371 0.494651 0.492376 
38 0.236787 0.354462 0.383402 0.448998 0.493896 0.503152 
39 0.236852 0.354365 0.384364 0.449802 0.494096 0.493341 
40 0.236902 0.354777 0.383429 0.449691 0.493990 0.498898 
41 0.236969 0.354288 0.383319 0.449424 0.494198 0.506004 
42 0.236971 0.353916 0.383810 0.449629 0.493966 0.507315 
43 0.236884 0.354007 0.383773 0.449033 0.493594 0.516532 
44 0.236866 0.353548 0.382765 0.449031 0.493775 0.513784 
45 0.237102 0.355540 0.383462 0.448075 0.493732 0.500718 
46 0.237282 0.356137 0.384117 0.450291 0.494381 0.501819 
47 0.236894 0.354754 0.384091 0.449987 0.494269 0.492758 
48 0.236966 0.353751 0.384399 0.447254 0.492796 0.518889 
49 0.237088 0.354023 0.383655 0.448754 0.493535 0.513217 
50 0.236853 0.354551 0.383428 0.449161 0.494031 0.505934 
51 0.237260 0.355002 0.382935 0.448391 0.493851 0.510434 
52 0.237024 0.354861 0.383886 0.448716 0.493922 0.499682 
53 0.237012 0.354098 0.383732 0.447485 0.493712 0.507367 
54 0.236963 0.354260 0.383408 0.448356 0.493848 0.490985 
55 0.236870 0.353692 0.384071 0.449624 0.494161 0.507436 
56 0.236838 0.353267 0.383255 0.449575 0.493670 0.515805 
57 0.237190 0.354614 0.383742 0.448955 0.493803 0.514387 
58 0.237148 0.354219 0.383911 0.448406 0.492920 0.518880 
59 0.236907 0.353430 0.383146 0.449316 0.493663 0.516733 
60 0.236958 0.354365 0.383904 0.447860 0.493519 0.504965 
