E_0 E_1 E_2 E_3 
0.23370(91) 0.3172(79) 0.404(11) 0.485(25) 
0 0.233698 0.317205 0.404189 0.484664 
1 0.233627 0.318324 0.406638 0.490844 
2 0.233587 0.316889 0.404687 0.487667 
3 0.233802 0.317260 0.404311 0.485730 
4 0.233639 0.317332 0.404779 0.485682 
5 0.233648 0.315329 0.401614 0.480729 
6 0.233745 0.315323 0.401174 0.480158 
7 0.233617 0.316517 0.403791 0.485367 
8 0.233643 0.318227 0.405944 0.487492 
9 0.233719 0.315398 0.399899 0.474680 
10 0.233598 0.316658 0.404558 0.487980 
11 0.233655 0.317367 0.403672 0.482686 
12 0.233349 0.317077 0.403916 0.481765 
13 0.233721 0.316658 0.403225 0.482227 
14 0.233613 0.317614 0.404094 0.483445 
15 0.233822 0.320761 0.407793 0.487733 
16 0.233785 0.317992 0.405297 0.486620 
17 0.233650 0.317468 0.404509 0.483063 
18 0.233635 0.317177 0.405007 0.486415 
19 0.233658 0.316643 0.403501 0.482769 
20 0.233740 0.315872 0.402648 0.482129 
21 0.233595 0.315547 0.402592 0.483012 
22 0.233575 0.317104 0.405055 0.487545 
23 0.233639 0.316898 0.404041 0.486140 
24 0.233625 0.318492 0.405334 0.484392 
25 0.233667 0.317854 0.405348 0.487424 
26 0.233733 0.316867 0.404012 0.486397 
27 0.233703 0.315906 0.402198 0.481225 
28 0.233873 0.316846 0.403354 0.483829 
29 0.233777 0.316311 0.402510 0.481663 
30 0.233652 0.316668 0.403246 0.483961 
31 0.233517 0.316963 0.404231 0.483773 
32 0.233579 0.316972 0.403326 0.482331 
33 0.233676 0.317725 0.404852 0.484836 
34 0.233742 0.318096 0.405538 0.487002 
35 0.233550 0.316960 0.404970 0.487251 
36 0.233830 0.316733 0.403417 0.483317 
37 0.233703 0.317921 0.405075 0.485051 
38 0.233830 0.316049 0.402495 0.481062 
39 0.233741 0.317478 0.404552 0.483905 
40 0.233713 0.316058 0.402496 0.482333 
41 0.233725 0.315958 0.402114 0.481188 
42 0.233496 0.318202 0.405588 0.490797 
43 0.233638 0.318977 0.406213 0.487579 
44 0.233606 0.318157 0.406801 0.493999 
45 0.233629 0.316696 0.403029 0.481082 
46 0.233622 0.317588 0.404845 0.484215 
47 0.233609 0.317135 0.404419 0.485236 
48 0.233508 0.316033 0.402549 0.483992 
49 0.233904 0.319006 0.405064 0.482723 
50 0.233769 0.317971 0.405662 0.491249 
51 0.233724 0.318868 0.407330 0.491823 
52 0.233648 0.317250 0.403569 0.483418 
53 0.233746 0.316627 0.404033 0.486173 
54 0.233713 0.316994 0.403781 0.483982 
55 0.233914 0.317618 0.403731 0.481614 
56 0.233728 0.315973 0.402555 0.481551 
57 0.233757 0.316965 0.403842 0.484200 
58 0.233781 0.316614 0.404500 0.487464 
59 0.233918 0.319335 0.406831 0.488039 
60 0.234114 0.317615 0.403739 0.482576 
