E_0 E_1 E_2 
0.3094(13) 0.36445(64) 0.44888(92) 
0 0.309376 0.364454 0.448884 
1 0.309684 0.364445 0.448815 
2 0.308884 0.364375 0.448837 
3 0.309100 0.364299 0.448797 
4 0.309489 0.364452 0.448909 
5 0.309069 0.364306 0.448714 
6 0.309509 0.364597 0.449108 
7 0.309302 0.364457 0.448732 
8 0.309613 0.364520 0.448964 
9 0.309566 0.364440 0.448865 
10 0.309609 0.364476 0.448856 
11 0.309531 0.364457 0.448729 
12 0.309253 0.364315 0.448752 
13 0.309313 0.364411 0.448857 
14 0.309246 0.364584 0.449069 
15 0.309244 0.364419 0.448962 
16 0.309272 0.364490 0.449068 
17 0.309354 0.364449 0.448878 
18 0.309650 0.364484 0.448926 
19 0.309249 0.364513 0.448914 
20 0.309327 0.364480 0.449034 
21 0.309144 0.364413 0.448827 
22 0.309436 0.364573 0.449092 
23 0.309553 0.364572 0.449046 
24 0.309162 0.364354 0.448734 
25 0.309284 0.364369 0.448621 
26 0.309529 0.364382 0.448922 
27 0.309160 0.364320 0.448729 
28 0.309534 0.364513 0.448923 
29 0.309221 0.364335 0.448922 
30 0.309360 0.364462 0.448805 
31 0.309519 0.364486 0.448895 
32 0.309426 0.364431 0.448721 
33 0.309100 0.364437 0.448978 
34 0.309530 0.364553 0.448910 
35 0.309441 0.364469 0.448861 
36 0.309232 0.364456 0.448796 
37 0.309467 0.364365 0.448766 
38 0.309407 0.364477 0.448952 
39 0.309390 0.364524 0.449017 
40 0.309377 0.364469 0.448861 
41 0.309649 0.364586 0.449032 
42 0.309373 0.364485 0.448918 
43 0.309358 0.364415 0.448899 
44 0.309416 0.364433 0.448967 
45 0.309406 0.364397 0.448724 
46 0.309362 0.364466 0.448905 
47 0.309453 0.364541 0.448924 
48 0.309172 0.364348 0.448695 
49 0.309282 0.364294 0.448757 
50 0.309463 0.364313 0.448695 
51 0.309174 0.364374 0.448884 
52 0.309141 0.364308 0.448737 
53 0.309248 0.364502 0.448944 
54 0.309466 0.364528 0.448895 
55 0.309184 0.364451 0.448892 
56 0.309513 0.364553 0.448821 
57 0.309413 0.364547 0.449116 
58 0.309482 0.364579 0.448969 
59 0.309553 0.364528 0.448832 
60 0.309555 0.364586 0.449166 
