E_0 E_1 E_2 E_3 E_4 E_5 E_6 
0.3530(11) 0.4422(69) 0.4623(46) 0.4808(89) 0.5093(45) 0.548(11) 0.565(18) 
0 0.353041 0.442158 0.462252 0.480806 0.509259 0.547507 0.565303 
1 0.353012 0.443816 0.462171 0.479214 0.510193 0.550523 0.567767 
2 0.353017 0.442622 0.461842 0.480804 0.509178 0.548956 0.568412 
3 0.353169 0.443141 0.462857 0.480860 0.507728 0.548506 0.561925 
4 0.352934 0.442928 0.462293 0.481076 0.509215 0.548666 0.566257 
5 0.352954 0.440782 0.462322 0.481547 0.508764 0.546079 0.562895 
6 0.353093 0.439943 0.461992 0.480592 0.509244 0.545585 0.563812 
7 0.352917 0.441324 0.462673 0.481341 0.508489 0.547279 0.567333 
8 0.352933 0.442769 0.462356 0.481031 0.509286 0.548299 0.566818 
9 0.353011 0.440659 0.461922 0.481341 0.509286 0.544685 0.564065 
10 0.352885 0.441627 0.461882 0.480238 0.509642 0.548374 0.568653 
11 0.353051 0.442966 0.461816 0.480703 0.509014 0.546769 0.561367 
12 0.352763 0.442144 0.461013 0.480486 0.508785 0.546671 0.565545 
13 0.353002 0.441682 0.461870 0.480352 0.508995 0.547252 0.567055 
14 0.352887 0.441721 0.461822 0.480983 0.509790 0.546476 0.567296 
15 0.353074 0.444085 0.462395 0.481047 0.508890 0.549964 0.568740 
16 0.353063 0.442183 0.462312 0.481421 0.509325 0.547795 0.568090 
17 0.352962 0.441682 0.462306 0.481678 0.509377 0.547479 0.564878 
18 0.352963 0.441711 0.462652 0.479716 0.508973 0.547678 0.565950 
19 0.352994 0.441416 0.462827 0.482452 0.508519 0.547244 0.563100 
20 0.353064 0.440778 0.463229 0.484188 0.508051 0.547368 0.566988 
21 0.352873 0.440525 0.462171 0.482150 0.509188 0.546663 0.566652 
22 0.352891 0.441682 0.462028 0.480799 0.509277 0.546628 0.562942 
23 0.352986 0.441941 0.461678 0.479426 0.510086 0.547876 0.568842 
24 0.352916 0.443071 0.462051 0.481189 0.508947 0.548002 0.563969 
25 0.352967 0.442576 0.461799 0.482085 0.508473 0.547863 0.566855 
26 0.353073 0.442029 0.462186 0.480726 0.508434 0.549557 0.570960 
27 0.353052 0.441200 0.461577 0.480869 0.508167 0.546548 0.566487 
28 0.353244 0.442498 0.461864 0.479184 0.509414 0.548163 0.564110 
29 0.353153 0.442526 0.462626 0.480033 0.509245 0.546932 0.561595 
30 0.353134 0.442398 0.462462 0.479928 0.509957 0.547325 0.565598 
31 0.352859 0.441663 0.462326 0.481716 0.509684 0.545983 0.563265 
32 0.352894 0.442119 0.462135 0.482285 0.509301 0.547185 0.564515 
33 0.352994 0.442993 0.463286 0.484792 0.507895 0.549987 0.567794 
34 0.353109 0.443388 0.463325 0.482675 0.509864 0.550081 0.564456 
35 0.352864 0.442320 0.461946 0.479796 0.510074 0.548742 0.568460 
36 0.353174 0.441930 0.462379 0.479926 0.509392 0.546060 0.561647 
37 0.353029 0.442647 0.462070 0.479800 0.510352 0.548119 0.563906 
38 0.353249 0.441170 0.462925 0.480991 0.509635 0.544424 0.562528 
39 0.353112 0.442036 0.462255 0.480526 0.509426 0.546637 0.562031 
40 0.353074 0.440443 0.461539 0.479589 0.509960 0.545887 0.563499 
41 0.353098 0.440673 0.462469 0.480768 0.510354 0.546264 0.565887 
42 0.352843 0.442816 0.461016 0.479900 0.508755 0.547641 0.565668 
43 0.353024 0.443646 0.461668 0.480737 0.509395 0.548907 0.567403 
44 0.352990 0.442382 0.462702 0.481532 0.509705 0.549981 0.567993 
45 0.352897 0.441667 0.462048 0.481680 0.508612 0.547530 0.564979 
46 0.353029 0.442606 0.463499 0.482998 0.509460 0.548815 0.564215 
47 0.352901 0.442396 0.461486 0.479707 0.509280 0.546686 0.564827 
48 0.352765 0.441443 0.460872 0.478455 0.509813 0.546677 0.563509 
49 0.353256 0.443507 0.463039 0.481299 0.508918 0.549182 0.565451 
50 0.353250 0.442228 0.462308 0.479755 0.509345 0.547422 0.564717 
51 0.353054 0.442675 0.461851 0.479710 0.509974 0.548874 0.562017 
52 0.352968 0.442128 0.461961 0.480788 0.508845 0.546349 0.565222 
53 0.353084 0.442277 0.462804 0.481150 0.509071 0.548610 0.569299 
54 0.353027 0.442038 0.462561 0.481486 0.509661 0.547256 0.564334 
55 0.353312 0.442296 0.463271 0.481019 0.509056 0.545910 0.562687 
56 0.353154 0.440653 0.462546 0.480027 0.509521 0.545105 0.563767 
57 0.353164 0.442168 0.461520 0.479157 0.509026 0.548252 0.568838 
58 0.353200 0.441962 0.462557 0.480580 0.509814 0.548235 0.566135 
59 0.353313 0.444043 0.463522 0.482319 0.509256 0.550744 0.567024 
60 0.353563 0.442726 0.463291 0.480059 0.508620 0.547126 0.562196 
